web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Mazraoui,MUN,DEF,4.4,0.5,3,0.8,97,1,0,0,0.22,0.06,0.28,2.08,6,1590,4213,-2623,0.0,a,
Willock,NEW,MID,5.0,0.5,12,3.0,198,2,1,0,0.64,0.26,0.90,3.73,12,3015,3959,-944,0.0,a,
I.Sangaré,NFO,MID,4.9,0.5,3,0.8,98,1,0,0,0.09,0.02,0.11,0.56,8,758,2468,-1710,0.0,a,100
Diomande,NFO,DEF,5.4,0.5,5,1.2,91,1,0,0,0.11,0.00,0.11,0.82,14,1732,1685,47,0.0,a,
Merino,ARS,MID,5.8,0.4,3,0.8,51,0,0,0,0.14,0.02,0.16,0.26,6,673,3875,-3202,0.0,a,
Mings,AVL,DEF,4.5,0.4,7,1.8,171,1,0,0,0.20,0.02,0.22,2.87,11,1397,2488,-1091,0.0,a,
Pau,AVL,DEF,4.5,0.4,3,0.8,187,3,0,0,0.00,0.01,0.01,4.79,9,190,4218,-4028,0.0,d,75
Silva,BOU,DEF,5.0,0.4,10,2.5,360,4,0,0,0.85,0.27,1.12,5.30,41,915,2364,-1449,0.0,a,
Ayari,BHA,MID,5.4,0.4,12,3.0,243,3,1,0,0.59,0.10,0.69,4.01,14,1783,2020,-237,0.0,a,100
Acheampong,CHE,DEF,4.5,0.4,5,1.2,202,2,0,0,0.00,0.02,0.02,3.52,19,767,3233,-2466,0.0,a,
Mheuka,CHE,FWD,4.5,0.4,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,3215,2834,381,0.0,a,
Wilson,COV,GKP,4.5,0.4,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,85,882,-797,0.0,a,
Kitching,COV,DEF,4.0,0.4,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,2582,-2582,0.0,u,0
Yeremy,CRY,MID,5.5,0.4,12,3.0,226,3,0,2,0.36,0.40,0.76,5.67,21,861,5502,-4641,0.0,a,
