web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Gonzalo,FUL,FWD,6.0,3.7,12,3.0,346,4,1,0,1.64,0.25,1.89,7.04,16,9541,27525,-17984,0.0,a,
Yalcouyé,BHA,MID,4.5,3.6,19,4.8,231,3,2,0,1.42,0.27,1.69,6.43,18,44740,12833,31907,0.0,a,
Walle Egeli,IPS,FWD,4.5,3.6,1,0.2,10,0,0,0,0.00,0.00,0.00,0.03,0,22646,15127,7519,0.0,a,
Hume,SUN,DEF,4.4,3.6,9,2.2,195,2,0,0,0.04,0.28,0.32,3.09,12,817,32542,-31725,0.0,a,
Forster,BOU,GKP,4.0,3.5,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,8451,5287,3164,0.0,a,
Gyökeres,ARS,FWD,7.2,3.4,1,0.2,12,0,0,0,0.00,0.00,0.00,0.11,1,1456,25297,-23841,0.0,a,
Truffert,BOU,DEF,5.5,3.3,8,2.0,360,4,0,0,0.09,0.23,0.32,5.30,38,2383,11750,-9367,0.0,a,
Evanilson,BOU,FWD,6.0,3.3,16,4.0,334,4,0,3,0.71,0.51,1.22,4.80,22,19875,14444,5431,0.0,a,
Enzo,MCI,MID,6.9,3.3,6,1.5,181,2,0,0,0.31,0.27,0.58,1.78,16,17912,12088,5824,0.0,a,
Foden,MCI,MID,7.0,3.3,9,2.2,217,3,0,2,1.61,0.88,2.49,1.91,14,1891,72068,-70177,0.0,s,0
Petrović,BOU,GKP,4.5,3.2,7,1.8,360,4,0,0,0.00,0.00,0.00,5.30,0,2611,9724,-7113,0.0,a,
Vuskovic,BHA,DEF,5.0,3.2,24,6.0,347,4,1,0,0.46,0.07,0.53,6.82,31,11883,11299,584,0.0,a,
Leno,FUL,GKP,4.5,3.0,15,3.8,360,4,0,0,0.00,0.00,0.00,7.51,0,13677,5281,8396,0.0,a,
Jacquet,LIV,DEF,5.0,3.0,18,4.5,325,4,0,0,0.00,0.12,0.12,4.72,28,34032,6143,27889,0.0,a,100
Ballard,SUN,DEF,4.9,3.0,12,3.0,360,4,0,0,0.17,0.16,0.33,5.84,35,3108,16933,-13825,0.0,a,
O'Shea,IPS,DEF,4.0,2.9,8,2.0,360,4,0,0,0.07,0.26,0.33,6.74,39,2446,6901,-4455,0.0,a,
Barnes,NEW,MID,6.0,2.9,18,4.5,324,4,1,1,0.48,0.07,0.55,6.82,22,35363,7779,27584,0.0,a,
Dedić,NEW,DEF,4.5,2.9,13,3.2,324,4,0,1,0.14,0.08,0.22,6.82,23,4532,17782,-13250,0.0,a,100
Watkins,AVL,FWD,7.8,2.8,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,16834,-16834,0.0,u,0
Mykolenko,EVE,DEF,4.5,2.8,22,5.5,360,4,0,0,0.00,0.14,0.14,5.50,33,76493,5594,70899,0.0,a,
Araujo,LIV,DEF,5.4,2.8,15,3.8,194,2,0,0,0.00,0.05,0.05,1.96,19,18071,5749,12322,0.0,a,
Stach,LEE,MID,6.0,2.7,20,5.0,324,4,1,0,0.88,0.24,1.12,4.79,45,4178,11052,-6874,0.0,a,
Robertson,TOT,DEF,4.4,2.7,13,3.2,276,3,0,0,0.13,0.17,0.30,5.89,17,7778,7246,532,0.0,a,
Roefs,SUN,GKP,4.9,2.7,11,2.8,360,4,0,0,0.00,0.00,0.00,5.84,0,931,14897,-13966,-0.1,a,
Wilson,LEE,MID,6.3,2.6,4,1.0,127,1,0,0,0.01,0.06,0.07,2.98,9,1026,19488,-18462,0.0,a,
Aina,NFO,DEF,4.5,2.6,8,2.0,306,4,0,0,0.04,0.53,0.57,3.72,22,6446,9055,-2609,0.0,a,
O'Nien,SUN,DEF,4.0,2.6,1,0.2,66,1,0,0,0.01,0.01,0.02,1.69,5,1002,8595,-7593,0.0,a,
Belloumi,HUL,MID,5.0,2.5,27,6.8,312,4,2,1,0.37,0.12,0.49,5.13,33,147692,8406,139286,0.0,a,
Kerkez,LIV,DEF,5.4,2.5,7,1.8,295,3,0,0,0.02,0.07,0.09,4.86,23,1032,18606,-17574,0.0,a,
Igor Jesus,NFO,FWD,5.8,2.5,11,2.8,226,2,1,0,1.09,0.07,1.16,2.57,12,19077,10205,8872,-0.1,a,
Janelt,BRE,MID,5.0,2.4,25,6.2,360,4,2,0,0.50,0.40,0.90,5.49,55,16747,11822,4925,0.0,a,
Emersonn,IPS,FWD,5.5,2.4,24,6.0,237,4,2,1,1.48,0.11,1.59,2.22,9,67883,7470,60413,0.0,a,100
